"Campaign","Ad Group","Keyword","Match Type","Status","Max CPC","Ad Group Status","Default Max CPC","Ad Type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Description 1","Description 2","Description 3","Description 4","Final URL","Display Path 1","Display Path 2","Campaign Status","Campaign Type","Budget","Bid Strategy Type","Max CPC (Campaign)","Networks","Languages","Device Bid Adjustment (Mobile)","Device Bid Adjustment (Tablet)","Geo Targeting","Ad Rotation","Sitelink Text","Sitelink Description Line 1","Sitelink Description Line 2","Sitelink Final URL","Callout Text","Snippet Header","Snippet Values"
"AutoScroll | Search | Chrome Extension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enabled","Search","5","Maximize Clicks","1.20","Search Network Only","English","-100","-100","United States,United Kingdom,Canada,Australia","Optimize","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","chrome automatic scrolling extension","Exact","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","automatic scroll chrome","Phrase","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","auto scroll webpage","Phrase","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","automatically scroll web page chrome","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","auto scroll page chrome","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","hands free scrolling chrome","Exact","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","auto scroll while reading","Exact","Enabled","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","auto scroll extension for reading","Exact","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","chrome extension for reading long articles","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","hands free scrolling","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","auto scroll for reading","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","automatic scrolling while reading","Phrase","Enabled","0.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","how to autoscroll in chrome","Exact","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","make chrome scroll automatically","Exact","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","chrome scroll automatically","Exact","Enabled","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","how to auto scroll in chrome browser","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","scroll automatically chrome","Phrase","Enabled","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","auto scroll page automatically","Phrase","Enabled","0.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","chrome browser auto scroll","Phrase","Enabled","0.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Core - Autoscroll Extension","","","Enabled","","","","Responsive search ad","AutoScroll Extension","Auto Scroll Web Pages","Free Chrome Extension","Hands-Free Reading","Set Your Scroll Speed","One-Click Auto Scroll","Works on Any Website","Keyboard Toggle","Read Faster Scroll Less","No Ads No Bloat","Set Your Reading Pace","Free with Pro Upgrade","Speed Up Your Reading","Smooth Auto Scrolling","Try AutoScroll Free","Set your scroll speed and read hands-free. Works on any site. Free to use.","Adjustable speed and keyboard toggle included. Pro plan removes all limits.","Clean autoscroll extension. No clutter or ads. Just smooth scrolling.","Free to start. Upgrade to Pro for speed presets saved per website.","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=core","autoscroll","free","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Automatic Scrolling","","","Enabled","","","","Responsive search ad","Auto-Scroll Any Web Page","Chrome Auto Scrolling","Set Your Scroll Speed","Hands-Free Web Reading","Free Chrome Extension","Speed Control Built In","Keyboard Shortcut Toggle","Ready in 30 Seconds","No Manual Scrolling","Read Articles Hands-Free","Smooth Page Scrolling","Auto Scroll for Chrome","Stop Scrolling Start Reading","Works on Any Website","Try AutoScroll Free","Set your pace and let AutoScroll handle the rest. Free Chrome extension.","Stop scrolling manually. Adjustable speed and keyboard toggle included.","Auto scroll any webpage at your preferred pace. Free with Pro upgrade.","Hands-free reading for articles and docs. Works on any website.","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=automatic","autoscroll","free","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Hands-Free Reading","","","Enabled","","","","Responsive search ad","Hands-Free Reading Tool","Auto Scroll While Reading","Read Long Articles Easily","No More Manual Scrolling","Free Chrome Extension","Adjustable Scroll Speed","Works on Any Website","Toggle With One Key","Read Faster With AutoScroll","Set Your Reading Pace","Free with Pro Upgrade","Smooth Automatic Scroll","Read Without Scrolling","Speed Up Your Reading","Try AutoScroll Free","Finish long articles without lifting a finger. AutoScroll keeps your pace.","Set your reading speed and scroll automatically. Free extension for Chrome.","Read papers and newsletters hands-free. Adjustable speed and toggle.","AutoScroll keeps a steady pace so you can focus on reading. Free to try.","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=reading","autoscroll","free","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","Problem Aware","","","Enabled","","","","Responsive search ad","AutoScroll Extension","Auto Scroll in Chrome","Make Chrome Scroll Itself","Free Autoscroll Extension","Works Instantly in Chrome","Set It and Read It","Ready in 30 Seconds","Speed Control Built In","Hands-Free Web Scrolling","No More Manual Scrolling","Toggle With Keyboard","Works on Any Website","Free Chrome Extension","Smooth Auto Scrolling","Read Pages Automatically","Want Chrome to scroll automatically? AutoScroll free extension works instantly.","AutoScroll lets you set a pace and read without touching the mouse. Free.","Easiest way to auto scroll in Chrome. Adjustable speed and keyboard toggle.","Set your scroll speed once and read hands-free. Free with Pro upgrade.","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=problem","autoscroll","free","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","How It Works","Set speed and scroll hands-free","Works on any website instantly","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=sl_how","","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Compare Plans","Free tier with Pro upgrade option","Monthly yearly or lifetime plans","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=sl_plans","","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Get Started Free","No account or signup required","Start scrolling hands-free today","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=sl_start","","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pro Features","Speed presets saved per website","Higher speed and priority support","https://apps.ebmapps.cc/autoscroll?utm_source=google&utm_medium=cpc&utm_campaign=sl_pro","","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Free to Use","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No Account Required","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Works on Any Website","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Keyboard Shortcut","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Adjustable Speed","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pro Plan Available","",""
"AutoScroll | Search | Chrome Extension","","","","Enabled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Features","Speed Control;Keyboard Toggle;Any Website;Speed Presets;No Ads"
"AutoScroll | Search | Chrome Extension","","gaming","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","gaming mouse","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","mouse","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","logitech","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","android","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","ios","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","iphone","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","ipad","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","firefox","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","safari","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","javascript","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","jquery","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","css","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","stackoverflow","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","excel","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","word","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","powerpoint","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","microsoft","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","reddit","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","youtube","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","tiktok","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","code","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","edge browser","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","tutorial","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","disable autoscroll","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","stop autoscroll","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","turn off autoscroll","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","how to disable","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","remove autoscroll","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","uninstall","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","smooth scroll","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","scrolling mouse","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoScroll | Search | Chrome Extension","","magic mouse","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
